 1.77827941e+08  2.84148341e+00  1.77827941e+08  2.84148450e+00  1.77827941e+08 -1.78282757e+02  1.77827941e+08  1.71626339e+00  1.77827941e+08 -9.85164282e+01  1.77827941e+08  2.84148396e+00 
 1.81970086e+08  2.84408222e+00  1.81970086e+08  2.84408329e+00  1.81970086e+08 -1.78332920e+02  1.81970086e+08  1.66607743e+00  1.81970086e+08 -9.83132439e+01  1.81970086e+08  2.84408276e+00 
 1.86208714e+08  2.84657192e+00  1.86208714e+08  2.84657299e+00  1.86208714e+08 -1.78382484e+02  1.86208714e+08  1.61649009e+00  1.86208714e+08 -9.81101937e+01  1.86208714e+08  2.84657245e+00 
 1.90546072e+08  2.84895675e+00  1.90546072e+08  2.84895780e+00  1.90546072e+08 -1.78431457e+02  1.90546072e+08  1.56749281e+00  1.90546072e+08 -9.79072723e+01  1.90546072e+08  2.84895727e+00 
 1.94984460e+08  2.85124078e+00  1.94984460e+08  2.85124182e+00  1.94984460e+08 -1.78479849e+02  1.94984460e+08  1.51907629e+00  1.94984460e+08 -9.77044747e+01  1.94984460e+08  2.85124130e+00 
 1.99526231e+08  2.85342799e+00  1.99526231e+08  2.85342901e+00  1.99526231e+08 -1.78527669e+02  1.99526231e+08  1.47123054e+00  1.99526231e+08 -9.75017960e+01  1.99526231e+08  2.85342850e+00 
 2.04173794e+08  2.85552218e+00  2.04173794e+08  2.85552320e+00  2.04173794e+08 -1.78574929e+02  2.04173794e+08  1.42394495e+00  2.04173794e+08 -9.72992314e+01  2.04173794e+08  2.85552269e+00 
 2.08929613e+08  2.85752707e+00  2.08929613e+08  2.85752807e+00  2.08929613e+08 -1.78621640e+02  2.08929613e+08  1.37720830e+00  2.08929613e+08 -9.70967765e+01  2.08929613e+08  2.85752757e+00 
 2.13796209e+08  2.85944621e+00  2.13796209e+08  2.85944719e+00  2.13796209e+08 -1.78667812e+02  2.13796209e+08  1.33100882e+00  2.13796209e+08 -9.68944267e+01  2.13796209e+08  2.85944670e+00 
 2.18776162e+08  2.86128305e+00  2.18776162e+08  2.86128402e+00  2.18776162e+08 -1.78713459e+02  2.18776162e+08  1.28533425e+00  2.18776162e+08 -9.66921779e+01  2.18776162e+08  2.86128353e+00 
 2.23872114e+08  2.86304091e+00  2.23872114e+08  2.86304186e+00  2.23872114e+08 -1.78758594e+02  2.23872114e+08  1.24017183e+00  2.23872114e+08 -9.64900260e+01  2.23872114e+08  2.86304139e+00 
 2.29086765e+08  2.86472299e+00  2.29086765e+08  2.86472393e+00  2.29086765e+08 -1.78803228e+02  2.29086765e+08  1.19550841e+00  2.29086765e+08 -9.62879670e+01  2.29086765e+08  2.86472346e+00 
 2.34422882e+08  2.86633238e+00  2.34422882e+08  2.86633330e+00  2.34422882e+08 -1.78847377e+02  2.34422882e+08  1.15133042e+00  2.34422882e+08 -9.60859970e+01  2.34422882e+08  2.86633284e+00 
 2.39883292e+08  2.86787205e+00  2.39883292e+08  2.86787295e+00  2.39883292e+08 -1.78891053e+02  2.39883292e+08  1.10762390e+00  2.39883292e+08 -9.58841126e+01  2.39883292e+08  2.86787250e+00 
 2.45470892e+08  2.86934486e+00  2.45470892e+08  2.86934573e+00  2.45470892e+08 -1.78934272e+02  2.45470892e+08  1.06437460e+00  2.45470892e+08 -9.56823100e+01  2.45470892e+08  2.86934529e+00 
