# Logfile created on 2026-08-18 11:30:41 -0400 by logger.rb/61378
2026-08-18 11:30:41 -0400: Memory Usage (416624K) : digibnd_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (416624K) : via1_drw has 550 polygons
2026-08-18 11:30:41 -0400: Memory Usage (416888K) : backmetal1_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (416888K) : backmetal1_pin has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (416888K) : backmetal1_mask has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (416888K) : backmetal1_filler has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (416888K) : backmetal1_nofill has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (416888K) : backmetal1_slit has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417152K) : backmetal1_text has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417152K) : backmetal1_opc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417152K) : backmetal1_noqrc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417152K) : backmetal1_res has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417152K) : backmetal1_iprobe has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417416K) : backmetal1_diffprb has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417416K) : backpassiv_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417416K) : res_drw has 12 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417416K) : sram_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417416K) : trans_drw has 12 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417416K) : ind_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417680K) : ind_pin has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417680K) : ind_text has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417680K) : salblock_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417680K) : via2_drw has 312 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417680K) : metal3_drw has 26 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_pin has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_mask has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_filler has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_nofill has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_slit has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_text has 4 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_opc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_noqrc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_res has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_iprobe has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (417944K) : metal3_diffprb has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418208K) : nwell_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418208K) : nwell_pin has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418208K) : nbulay_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418208K) : nbulay_pin has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418208K) : nbulay_block has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418208K) : emwind_drw has 36 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418472K) : emwind_opc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418472K) : deepco_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418472K) : deepco_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418472K) : mim_drw has 3 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418472K) : edgeseal_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418472K) : edgeseal_bound has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418736K) : substrate_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418736K) : substrate_text has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418736K) : dfpad_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418736K) : dfpad_pillar has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418736K) : dfpad_sbump has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (418736K) : thickgateox_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (419000K) : pldb_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (419000K) : pwell_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (419000K) : pwell_pin has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (419000K) : pwell_block has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (419000K) : ic_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (419000K) : via3_drw has 256 polygons
2026-08-18 11:30:41 -0400: Memory Usage (419264K) : metal4_drw has 16 polygons
2026-08-18 11:30:41 -0400: Memory Usage (419264K) : metal4_pin has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (419264K) : metal4_mask has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (419264K) : metal4_filler has 0 polygons
