 1.77827941e+08  2.16988979e+00  1.77827941e+08  2.16989047e+00  1.77827941e+08 -1.78190161e+02  1.77827941e+08  1.80775408e+00  1.77827941e+08 -9.26304982e+01  1.77827941e+08  2.16989013e+00 
 1.81970086e+08  2.17256519e+00  1.81970086e+08  2.17256585e+00  1.81970086e+08 -1.78240755e+02  1.81970086e+08  1.75711174e+00  1.81970086e+08 -9.24275899e+01  1.81970086e+08  2.17256552e+00 
 1.86208714e+08  2.17512833e+00  1.86208714e+08  2.17512897e+00  1.86208714e+08 -1.78290709e+02  1.86208714e+08  1.70710773e+00  1.86208714e+08 -9.22248039e+01  1.86208714e+08  2.17512865e+00 
 1.90546072e+08  2.17758356e+00  1.90546072e+08  2.17758418e+00  1.90546072e+08 -1.78340032e+02  1.90546072e+08  1.65773380e+00  1.90546072e+08 -9.20221352e+01  1.90546072e+08  2.17758387e+00 
 1.94984460e+08  2.17993510e+00  1.94984460e+08  2.17993569e+00  1.94984460e+08 -1.78388733e+02  1.94984460e+08  1.60898096e+00  1.94984460e+08 -9.18195795e+01  1.94984460e+08  2.17993539e+00 
 1.99526231e+08  2.18218700e+00  1.99526231e+08  2.18218758e+00  1.99526231e+08 -1.78436821e+02  1.99526231e+08  1.56083950e+00  1.99526231e+08 -9.16171322e+01  1.99526231e+08  2.18218729e+00 
 2.04173794e+08  2.18434322e+00  2.04173794e+08  2.18434378e+00  2.04173794e+08 -1.78484307e+02  2.04173794e+08  1.51329910e+00  2.04173794e+08 -9.14147889e+01  2.04173794e+08  2.18434350e+00 
 2.08929613e+08  2.18640756e+00  2.08929613e+08  2.18640808e+00  2.08929613e+08 -1.78531201e+02  2.08929613e+08  1.46634881e+00  2.08929613e+08 -9.12125457e+01  2.08929613e+08  2.18640782e+00 
 2.13796209e+08  2.18838368e+00  2.13796209e+08  2.18838418e+00  2.13796209e+08 -1.78577516e+02  2.13796209e+08  1.41997716e+00  2.13796209e+08 -9.10103984e+01  2.13796209e+08  2.18838393e+00 
 2.18776162e+08  2.19027513e+00  2.18776162e+08  2.19027560e+00  2.18776162e+08 -1.78623262e+02  2.18776162e+08  1.37417213e+00  2.18776162e+08 -9.08083433e+01  2.18776162e+08  2.19027536e+00 
 2.23872114e+08  2.19208533e+00  2.23872114e+08  2.19208577e+00  2.23872114e+08 -1.78668453e+02  2.23872114e+08  1.32892127e+00  2.23872114e+08 -9.06063765e+01  2.23872114e+08  2.19208555e+00 
 2.29086765e+08  2.19381758e+00  2.29086765e+08  2.19381799e+00  2.29086765e+08 -1.78713102e+02  2.29086765e+08  1.28421168e+00  2.29086765e+08 -9.04044945e+01  2.29086765e+08  2.19381778e+00 
 2.34422882e+08  2.19547505e+00  2.34422882e+08  2.19547543e+00  2.34422882e+08 -1.78757220e+02  2.34422882e+08  1.24003007e+00  2.34422882e+08 -9.02026939e+01  2.34422882e+08  2.19547524e+00 
 2.39883292e+08  2.19706081e+00  2.39883292e+08  2.19706115e+00  2.39883292e+08 -1.78800824e+02  2.39883292e+08  1.19636279e+00  2.39883292e+08 -9.00009712e+01  2.39883292e+08  2.19706098e+00 
 2.45470892e+08  2.19857779e+00  2.45470892e+08  2.19857809e+00  2.45470892e+08 -1.78843925e+02  2.45470892e+08  1.15319584e+00  2.45470892e+08 -8.97993234e+01  2.45470892e+08  2.19857794e+00 
 2.51188643e+08  2.20002884e+00  2.51188643e+08  2.20002910e+00  2.51188643e+08 -1.78886539e+02  2.51188643e+08  1.11051493e+00  2.51188643e+08 -8.95977473e+01  2.51188643e+08  2.20002897e+00 
 2.57039578e+08  2.20141668e+00  2.57039578e+08  2.20141690e+00  2.57039578e+08 -1.78928680e+02  2.57039578e+08  1.06830549e+00  2.57039578e+08 -8.93962399e+01  2.57039578e+08  2.20141679e+00 
