-9.00000000e-01  1.10513831e+00 -9.00000000e-01 -4.44539019e-02 
-8.85000000e-01  1.10510554e+00 -8.85000000e-01 -4.44537223e-02 
-8.70000000e-01  1.10506436e+00 -8.70000000e-01 -4.44535549e-02 
-8.55000000e-01  1.10501219e+00 -8.55000000e-01 -4.44534032e-02 
-8.40000000e-01  1.10494567e+00 -8.40000000e-01 -4.44532719e-02 
-8.25000000e-01  1.10486039e+00 -8.25000000e-01 -4.44531675e-02 
-8.10000000e-01  1.10475062e+00 -8.10000000e-01 -4.44530980e-02 
-7.95000000e-01  1.10460888e+00 -7.95000000e-01 -4.44530740e-02 
-7.80000000e-01  1.10442547e+00 -7.80000000e-01 -4.44531093e-02 
-7.65000000e-01  1.10418776e+00 -7.65000000e-01 -4.44532217e-02 
-7.50000000e-01  1.10387938e+00 -7.50000000e-01 -4.44534342e-02 
-7.35000000e-01  1.10347922e+00 -7.35000000e-01 -4.44537765e-02 
-7.20000000e-01  1.10296007e+00 -7.20000000e-01 -4.44542863e-02 
-7.05000000e-01  1.10228710e+00 -7.05000000e-01 -4.44550120e-02 
-6.90000000e-01  1.10141600e+00 -6.90000000e-01 -4.44560143e-02 
-6.75000000e-01  1.10029089e+00 -6.75000000e-01 -4.44573692e-02 
-6.60000000e-01  1.09884202e+00 -6.60000000e-01 -4.44591697e-02 
-6.45000000e-01  1.09698357e+00 -6.45000000e-01 -4.44615284e-02 
-6.30000000e-01  1.09461192e+00 -6.30000000e-01 -4.44645772e-02 
-6.15000000e-01  1.09160468e+00 -6.15000000e-01 -4.44684659e-02 
-6.00000000e-01  1.08782119e+00 -6.00000000e-01 -4.44733584e-02 
-5.85000000e-01  1.08310568e+00 -5.85000000e-01 -4.44794221e-02 
-5.70000000e-01  1.07729290e+00 -5.70000000e-01 -4.44868149e-02 
-5.55000000e-01  1.07021684e+00 -5.55000000e-01 -4.44956657e-02 
-5.40000000e-01  1.06172105e+00 -5.40000000e-01 -4.45060557e-02 
-5.25000000e-01  1.05166997e+00 -5.25000000e-01 -4.45179975e-02 
-5.10000000e-01  1.03995948e+00 -5.10000000e-01 -4.45314192e-02 
-4.95000000e-01  1.02652091e+00 -4.95000000e-01 -4.45461605e-02 
-4.80000000e-01  1.01132818e+00 -4.80000000e-01 -4.45619660e-02 
-4.65000000e-01  9.94393847e-01 -4.65000000e-01 -4.45784982e-02 
-4.50000000e-01  9.75734567e-01 -4.50000000e-01 -4.45953819e-02 
-4.35000000e-01  9.55440403e-01 -4.35000000e-01 -4.46121415e-02 
-4.20000000e-01  9.33570046e-01 -4.20000000e-01 -4.46283277e-02 
-4.05000000e-01  9.10208327e-01 -4.05000000e-01 -4.46434819e-02 
-3.90000000e-01  8.85439212e-01 -3.90000000e-01 -4.46572047e-02 
-3.75000000e-01  8.59348339e-01 -3.75000000e-01 -4.46692155e-02 
-3.60000000e-01  8.32025885e-01 -3.60000000e-01 -4.46794242e-02 
-3.45000000e-01  8.03570261e-01 -3.45000000e-01 -4.46879744e-02 
-3.30000000e-01  7.74087580e-01 -3.30000000e-01 -4.46952021e-02 
-3.15000000e-01  7.43684682e-01 -3.15000000e-01 -4.47015074e-02 
-3.00000000e-01  7.12460495e-01 -3.00000000e-01 -4.47072243e-02 
-2.85000000e-01  6.80501681e-01 -2.85000000e-01 -4.47125680e-02 
-2.70000000e-01  6.47882995e-01 -2.70000000e-01 -4.47176519e-02 
-2.55000000e-01  6.14669511e-01 -2.55000000e-01 -4.47225243e-02 
-2.40000000e-01  5.80918805e-01 -2.40000000e-01 -4.47271986e-02 
-2.25000000e-01  5.46682558e-01 -2.25000000e-01 -4.47316709e-02 
-2.10000000e-01  5.12007668e-01 -2.10000000e-01 -4.47359305e-02 
-1.95000000e-01  4.76937047e-01 -1.95000000e-01 -4.47399636e-02 
-1.80000000e-01  4.41510213e-01 -1.80000000e-01 -4.47437561e-02 
-1.65000000e-01  4.05708354e-01 -1.65000000e-01 -4.47473023e-02 
-1.50000000e-01  3.69679567e-01 -1.50000000e-01 -4.47505732e-02 
-1.35000000e-01  3.33397709e-01 -1.35000000e-01 -4.47535660e-02 
-1.20000000e-01  2.96892799e-01 -1.20000000e-01 -4.47562706e-02 
-1.05000000e-01  2.60193258e-01 -1.05000000e-01 -4.47586779e-02 
-9.00000000e-02  2.23326151e-01 -9.00000000e-02 -4.47607800e-02 
-7.50000000e-02  1.86317400e-01 -7.50000000e-02 -4.47625701e-02 
-6.00000000e-02  1.49127099e-01 -6.00000000e-02 -4.47640458e-02 
-4.50000000e-02  1.11924985e-01 -4.50000000e-02 -4.47651944e-02 
-3.00000000e-02  7.45654156e-02 -3.00000000e-02 -4.47660197e-02 
-1.50000000e-02  3.72938576e-02 -1.50000000e-02 -4.47665128e-02 
 6.52256027e-16  2.61124455e-12  6.52256027e-16 -4.47666772e-02 
 1.50000000e-02 -3.72938576e-02  1.50000000e-02 -4.47665128e-02 
 3.00000000e-02 -7.45654156e-02  3.00000000e-02 -4.47660197e-02 
 4.50000000e-02 -1.11924985e-01  4.50000000e-02 -4.47651944e-02 
 6.00000000e-02 -1.49127099e-01  6.00000000e-02 -4.47640458e-02 
 7.50000000e-02 -1.86317400e-01  7.50000000e-02 -4.47625701e-02 
 9.00000000e-02 -2.23326151e-01  9.00000000e-02 -4.47607800e-02 
 1.05000000e-01 -2.60193258e-01  1.05000000e-01 -4.47586779e-02 
 1.20000000e-01 -2.96892799e-01  1.20000000e-01 -4.47562706e-02 
 1.35000000e-01 -3.33397709e-01  1.35000000e-01 -4.47535660e-02 
 1.50000000e-01 -3.69679567e-01  1.50000000e-01 -4.47505732e-02 
 1.65000000e-01 -4.05708354e-01  1.65000000e-01 -4.47473023e-02 
 1.80000000e-01 -4.41510213e-01  1.80000000e-01 -4.47437561e-02 
 1.95000000e-01 -4.76937047e-01  1.95000000e-01 -4.47399636e-02 
 2.10000000e-01 -5.12007668e-01  2.10000000e-01 -4.47359305e-02 
 2.25000000e-01 -5.46682558e-01  2.25000000e-01 -4.47316709e-02 
 2.40000000e-01 -5.80918805e-01  2.40000000e-01 -4.47271986e-02 
 2.55000000e-01 -6.14669511e-01  2.55000000e-01 -4.47225243e-02 
 2.70000000e-01 -6.47882995e-01  2.70000000e-01 -4.47176519e-02 
 2.85000000e-01 -6.80501681e-01  2.85000000e-01 -4.47125680e-02 
 3.00000000e-01 -7.12460495e-01  3.00000000e-01 -4.47072243e-02 
 3.15000000e-01 -7.43684682e-01  3.15000000e-01 -4.47015074e-02 
 3.30000000e-01 -7.74087580e-01  3.30000000e-01 -4.46952021e-02 
 3.45000000e-01 -8.03570261e-01  3.45000000e-01 -4.46879744e-02 
 3.60000000e-01 -8.32025885e-01  3.60000000e-01 -4.46794242e-02 
 3.75000000e-01 -8.59348339e-01  3.75000000e-01 -4.46692155e-02 
 3.90000000e-01 -8.85439212e-01  3.90000000e-01 -4.46572047e-02 
 4.05000000e-01 -9.10208327e-01  4.05000000e-01 -4.46434819e-02 
 4.20000000e-01 -9.33570046e-01  4.20000000e-01 -4.46283277e-02 
 4.35000000e-01 -9.55440403e-01  4.35000000e-01 -4.46121415e-02 
 4.50000000e-01 -9.75734567e-01  4.50000000e-01 -4.45953819e-02 
 4.65000000e-01 -9.94393847e-01  4.65000000e-01 -4.45784982e-02 
 4.80000000e-01 -1.01132818e+00  4.80000000e-01 -4.45619660e-02 
 4.95000000e-01 -1.02652091e+00  4.95000000e-01 -4.45461605e-02 
 5.10000000e-01 -1.03995948e+00  5.10000000e-01 -4.45314192e-02 
