 1.77827941e+08  2.12714657e+00  1.77827941e+08  2.12714666e+00  1.77827941e+08 -1.78233896e+02  1.77827941e+08  1.76141088e+00  1.77827941e+08 -8.56270122e+01  1.77827941e+08  2.12714661e+00 
 1.81970086e+08  2.12974473e+00  1.81970086e+08  2.12974479e+00  1.81970086e+08 -1.78282943e+02  1.81970086e+08  1.71225437e+00  1.81970086e+08 -8.54243310e+01  1.81970086e+08  2.12974475e+00 
 1.86208714e+08  2.13223385e+00  1.86208714e+08  2.13223388e+00  1.86208714e+08 -1.78331365e+02  1.86208714e+08  1.66372128e+00  1.86208714e+08 -8.52217624e+01  1.86208714e+08  2.13223386e+00 
 1.90546072e+08  2.13461817e+00  1.90546072e+08  2.13461815e+00  1.90546072e+08 -1.78379168e+02  1.90546072e+08  1.61580359e+00  1.90546072e+08 -8.50193020e+01  1.90546072e+08  2.13461815e+00 
 1.94984460e+08  2.13690176e+00  1.94984460e+08  2.13690170e+00  1.94984460e+08 -1.78426362e+02  1.94984460e+08  1.56849254e+00  1.94984460e+08 -8.48169455e+01  1.94984460e+08  2.13690172e+00 
 1.99526231e+08  2.13908859e+00  1.99526231e+08  2.13908849e+00  1.99526231e+08 -1.78472955e+02  1.99526231e+08  1.52177874e+00  1.99526231e+08 -8.46146891e+01  1.99526231e+08  2.13908853e+00 
 2.04173794e+08  2.14118248e+00  2.04173794e+08  2.14118233e+00  2.04173794e+08 -1.78518959e+02  2.04173794e+08  1.47565213e+00  2.04173794e+08 -8.44125285e+01  2.04173794e+08  2.14118240e+00 
 2.08929613e+08  2.14318714e+00  2.08929613e+08  2.14318694e+00  2.08929613e+08 -1.78564384e+02  2.08929613e+08  1.43010211e+00  2.08929613e+08 -8.42104602e+01  2.08929613e+08  2.14318703e+00 
 2.13796209e+08  2.14510611e+00  2.13796209e+08  2.14510586e+00  2.13796209e+08 -1.78609240e+02  2.13796209e+08  1.38511752e+00  2.13796209e+08 -8.40084803e+01  2.13796209e+08  2.14510598e+00 
 2.18776162e+08  2.14694286e+00  2.18776162e+08  2.14694256e+00  2.18776162e+08 -1.78653539e+02  2.18776162e+08  1.34068672e+00  2.18776162e+08 -8.38065852e+01  2.18776162e+08  2.14694270e+00 
 2.23872114e+08  2.14870070e+00  2.23872114e+08  2.14870034e+00  2.23872114e+08 -1.78697294e+02  2.23872114e+08  1.29679764e+00  2.23872114e+08 -8.36047717e+01  2.23872114e+08  2.14870051e+00 
 2.29086765e+08  2.15038284e+00  2.29086765e+08  2.15038242e+00  2.29086765e+08 -1.78740516e+02  2.29086765e+08  1.25343774e+00  2.29086765e+08 -8.34030363e+01  2.29086765e+08  2.15038262e+00 
 2.34422882e+08  2.15199236e+00  2.34422882e+08  2.15199188e+00  2.34422882e+08 -1.78783219e+02  2.34422882e+08  1.21059415e+00  2.34422882e+08 -8.32013760e+01  2.34422882e+08  2.15199210e+00 
 2.39883292e+08  2.15353223e+00  2.39883292e+08  2.15353168e+00  2.39883292e+08 -1.78825415e+02  2.39883292e+08  1.16825363e+00  2.39883292e+08 -8.29997875e+01  2.39883292e+08  2.15353194e+00 
 2.45470892e+08  2.15500531e+00  2.45470892e+08  2.15500470e+00  2.45470892e+08 -1.78867119e+02  2.45470892e+08  1.12640260e+00  2.45470892e+08 -8.27982680e+01  2.45470892e+08  2.15500499e+00 
 2.51188643e+08  2.15641437e+00  2.51188643e+08  2.15641369e+00  2.51188643e+08 -1.78908343e+02  2.51188643e+08  1.08502722e+00  2.51188643e+08 -8.25968146e+01  2.51188643e+08  2.15641401e+00 
 2.57039578e+08  2.15776205e+00  2.57039578e+08  2.15776129e+00  2.57039578e+08 -1.78949103e+02  2.57039578e+08  1.04411336e+00  2.57039578e+08 -8.23954245e+01  2.57039578e+08  2.15776165e+00 
 2.63026799e+08  2.15905089e+00  2.63026799e+08  2.15905006e+00  2.63026799e+08 -1.78989411e+02  2.63026799e+08  1.00364665e+00  2.63026799e+08 -8.21940953e+01  2.63026799e+08  2.15905046e+00 
 2.69153480e+08  2.16028336e+00  2.69153480e+08  2.16028244e+00  2.69153480e+08 -1.79029284e+02  2.69153480e+08  9.63612507e-01  2.69153480e+08 -8.19928242e+01  2.69153480e+08  2.16028288e+00 
 2.75422870e+08  2.16146179e+00  2.75422870e+08  2.16146079e+00  2.75422870e+08 -1.79068734e+02  2.75422870e+08  9.23996124e-01  2.75422870e+08 -8.17916089e+01  2.75422870e+08  2.16146128e+00 
 2.81838293e+08  2.16258847e+00  2.81838293e+08  2.16258738e+00  2.81838293e+08 -1.79107779e+02  2.81838293e+08  8.84782526e-01  2.81838293e+08 -8.15904471e+01  2.81838293e+08  2.16258791e+00 
 2.88403150e+08  2.16366555e+00  2.88403150e+08  2.16366437e+00  2.88403150e+08 -1.79146431e+02  2.88403150e+08  8.45956565e-01  2.88403150e+08 -8.13893365e+01  2.88403150e+08  2.16366494e+00 
 2.95120923e+08  2.16469513e+00  2.95120923e+08  2.16469385e+00  2.95120923e+08 -1.79184708e+02  2.95120923e+08  8.07502941e-01  2.95120923e+08 -8.11882750e+01  2.95120923e+08  2.16469447e+00 
 3.01995172e+08  2.16567921e+00  3.01995172e+08  2.16567782e+00  3.01995172e+08 -1.79222623e+02  3.01995172e+08  7.69406215e-01  3.01995172e+08 -8.09872604e+01  3.01995172e+08  2.16567849e+00 
 3.09029543e+08  2.16661970e+00  3.09029543e+08  2.16661821e+00  3.09029543e+08 -1.79260193e+02  3.09029543e+08  7.31650821e-01  3.09029543e+08 -8.07862909e+01  3.09029543e+08  2.16661893e+00 
 3.16227766e+08  2.16751845e+00  3.16227766e+08  2.16751685e+00  3.16227766e+08 -1.79297432e+02  3.16227766e+08  6.94221080e-01  3.16227766e+08 -8.05853645e+01  3.16227766e+08  2.16751763e+00 
 3.23593657e+08  2.16837724e+00  3.23593657e+08  2.16837552e+00  3.23593657e+08 -1.79334358e+02  3.23593657e+08  6.57101204e-01  3.23593657e+08 -8.03844793e+01  3.23593657e+08  2.16837635e+00 
 3.31131121e+08  2.16919775e+00  3.31131121e+08  2.16919590e+00  3.31131121e+08 -1.79370985e+02  3.31131121e+08  6.20275314e-01  3.31131121e+08 -8.01836337e+01  3.31131121e+08  2.16919680e+00 
 3.38844156e+08  2.16998160e+00  3.38844156e+08  2.16997963e+00  3.38844156e+08 -1.79407329e+02  3.38844156e+08  5.83727440e-01  3.38844156e+08 -7.99828260e+01  3.38844156e+08  2.16998059e+00 
 3.46736850e+08  2.17073037e+00  3.46736850e+08  2.17072826e+00  3.46736850e+08 -1.79443407e+02  3.46736850e+08  5.47441530e-01  3.46736850e+08 -7.97820546e+01  3.46736850e+08  2.17072928e+00 
 3.54813389e+08  2.17144552e+00  3.54813389e+08  2.17144327e+00  3.54813389e+08 -1.79479233e+02  3.54813389e+08  5.11401459e-01  3.54813389e+08 -7.95813178e+01  3.54813389e+08  2.17144437e+00 
