-9.00000000e-01  1.12881788e+00 -9.00000000e-01 -4.71644328e-02 
-8.85000000e-01  1.12877905e+00 -8.85000000e-01 -4.71642250e-02 
-8.70000000e-01  1.12872997e+00 -8.70000000e-01 -4.71640333e-02 
-8.55000000e-01  1.12866741e+00 -8.55000000e-01 -4.71638631e-02 
-8.40000000e-01  1.12858717e+00 -8.40000000e-01 -4.71637210e-02 
-8.25000000e-01  1.12848370e+00 -8.25000000e-01 -4.71636156e-02 
-8.10000000e-01  1.12834976e+00 -8.10000000e-01 -4.71635587e-02 
-7.95000000e-01  1.12817587e+00 -7.95000000e-01 -4.71635649e-02 
-7.80000000e-01  1.12794966e+00 -7.80000000e-01 -4.71636539e-02 
-7.65000000e-01  1.12765500e+00 -7.65000000e-01 -4.71638508e-02 
-7.50000000e-01  1.12727094e+00 -7.50000000e-01 -4.71641885e-02 
-7.35000000e-01  1.12677040e+00 -7.35000000e-01 -4.71647090e-02 
-7.20000000e-01  1.12611849e+00 -7.20000000e-01 -4.71654663e-02 
-7.05000000e-01  1.12527063e+00 -7.05000000e-01 -4.71665289e-02 
-6.90000000e-01  1.12417033e+00 -6.90000000e-01 -4.71679825e-02 
-6.75000000e-01  1.12274679e+00 -6.75000000e-01 -4.71699332e-02 
-6.60000000e-01  1.12091265e+00 -6.60000000e-01 -4.71725093e-02 
-6.45000000e-01  1.11856206e+00 -6.45000000e-01 -4.71758624e-02 
-6.30000000e-01  1.11556986e+00 -6.30000000e-01 -4.71801656e-02 
-6.15000000e-01  1.11179240e+00 -6.15000000e-01 -4.71856082e-02 
-6.00000000e-01  1.10707094e+00 -6.00000000e-01 -4.71923842e-02 
-5.85000000e-01  1.10123789e+00 -5.85000000e-01 -4.72006779e-02 
-5.70000000e-01  1.09412649e+00 -5.70000000e-01 -4.72106410e-02 
-5.55000000e-01  1.08558138e+00 -5.55000000e-01 -4.72223711e-02 
-5.40000000e-01  1.07547258e+00 -5.40000000e-01 -4.72358872e-02 
-5.25000000e-01  1.06370129e+00 -5.25000000e-01 -4.72511204e-02 
